Sentence,Option 1,Option 2,Option 3,Option 4,Correct answer,Meaning 1,Meaning 2,Meaning 3,Meaning 4
彼女は____がよく、みんなとすぐに打ち解けることができた。,感想,感情,愛情,愛想,愛想,charm; amiability,feelings; sentiment,affection; love,charm; amiability
彼は____、私よりもずっと経験が少ない。,今更,最中,瞬間,目下,目下,at this point; now,in the midst of,moment; instant,lower; subordinate; currently
その二人の関係は非常に____で、ほとんど離れることがない。,精密,過密,密度,密接,密接,precise; detailed,overcrowded; dense,density,close; intimate
彼の健康状態は____だ。,保険,壮健,健在,健全,健全,insurance,robust; healthy,in good health,sound; wholesome
その事故は多くの人々に____をもたらした。,迫害,障害,災害,危害,危害,persecution; oppression,obstacle; impairment,disaster; calamity,harm; damage
彼の行動は____を感じさせた。,圧勝,圧力,圧縮,圧迫,圧迫,overwhelming victory,pressure; stress,compression; compaction,oppression; constraint
彼は____で有名な芸人だ。,特産,特集,特権,特技,特技,local product,feature; special edition,privilege; special right,special skill; talent
彼は____を忘れずに、今後に生かしていくべきだ。,教材,教習,教科,教訓,教訓,educational material,training; practice,subject; course,lesson; moral
引っ越しの準備はとても____だった。,世話,助け,手伝い,面倒,面倒,care; assistance,help; aid,help; support,trouble; bother
彼は友人の____を聞かずに、大きな失敗をしてしまった。,証言,申告,宣言,忠告,忠告,testimony; statement,report; declaration,declaration; proclamation,advice; warning
彼の発言の____がよく分からなかった。,意識,意志,意欲,意図,意図,intention; aim,consciousness; awareness,will; determination,desire; motivation
この病気は治ったように見えても____する可能性がある。,再現,復活,復旧,再発,再発,reappearance; reproduction,revival; restoration,recovery; restoration,relapse; recurrence
彼女は立ち振る舞いに____がある。,気質,気性,気分,気品,気品,temperament; disposition,temperament; nature,mood; feeling,elegance; grace
自分の能力を正しく____することが大切だ。,向上,始末,処理,自覚,自覚,improvement; advancement,dealing with; managing,processing; handling,self-awareness; realization
困難な状況では人々の____が重要だ。,依存,共存,連続,連帯,連帯,dependence; reliance,coexistence,continuity; succession,solidarity; mutual support
インターネットで商品の____を行うことができる。,一覧,回覧,観覧,閲覧,閲覧,list; catalog,circulation; distribution,viewing; observation,browsing; perusal
彼は仕事で____に出張している。,活発,自在,不調,頻繫,頻繫,active; lively,flexible,unwell; out of order,frequent; often
この映画は____のストーリーが繋がっている。,一括,一帯,一同,一連,一連,batch; lump; collective,region; area; district,everyone; all (people present),series; sequence
彼の言葉には____に誘われるような魅力があった。,勧誘,作用,保養,誘惑,誘惑,invitation; solicitation,effect; action,recreation; health treatment,temptation; lure
彼は私の意見に____した。,合致,協調,同調,同意,同意,agreement; match,cooperation; harmony,sympathy; tuning,agreement; consent
彼は学校で____しているように見える。,孤独,独立,自立,孤立,孤立,loneliness; isolation,independence; self-reliance,self-sufficiency,solitude; loneliness
彼は自分の感情を____している。,圧迫,迫害,抑圧,抑制,抑制,restraint; suppression,oppression; pressure,persecution; oppression,restraint; suppression
